timestamp_iso,timestamp,event_type,session_code,participant_code,round_number,player_id,id_in_group,group_id,offer_id,member_1,member_2,member_3,allocation_1,allocation_2,allocation_3,accepted_offer
2024-05-14T09:00:55.428009,1715677255.42802,proposal,ykdzfw2h,p8983tf0,1,7,1,3,1,1,1,1,34,33,33,
2024-05-14T09:00:57.292285,1715677257.2922952,proposal,ykdzfw2h,zu5rxx67,1,2,3,2,1,1,1,1,34,33,33,
2024-05-14T09:00:57.759874,1715677257.7598853,proposal,ykdzfw2h,gb3p43e3,1,28,2,10,1,1,1,1,34,33,31,
2024-05-14T09:00:59.995363,1715677259.9953756,proposal,ykdzfw2h,n6p6kpol,1,21,1,7,1,1,1,1,34,33,33,
2024-05-14T09:01:01.551932,1715677261.5519447,proposal,ykdzfw2h,10hb91v0,1,14,1,6,1,1,1,1,60,20,20,
2024-05-14T09:01:01.822532,1715677261.8225439,proposal,ykdzfw2h,7ikal8ir,1,12,1,4,1,1,1,1,40,30,30,
2024-05-14T09:01:04.072622,1715677264.0726323,proposal,ykdzfw2h,gb3p43e3,1,28,2,10,2,1,1,1,34,33,33,
2024-05-14T09:01:04.250786,1715677264.2507973,proposal,ykdzfw2h,icm5jw1w,1,26,3,10,3,1,1,1,34,33,33,
2024-05-14T09:01:10.081066,1715677270.0810764,proposal,ykdzfw2h,rggxlrld,1,1,3,1,1,1,1,1,40,30,30,
2024-05-14T09:01:10.111398,1715677270.1114085,proposal,ykdzfw2h,bxgty49l,1,19,3,7,2,1,1,1,33,33,33,
2024-05-14T09:01:12.323035,1715677272.3230445,proposal,ykdzfw2h,dlal68fq,1,25,3,9,1,1,1,1,33,34,33,
2024-05-14T09:01:16.179440,1715677276.1794538,proposal,ykdzfw2h,93vk2elh,1,22,2,8,1,1,1,1,34,33,33,
2024-05-14T09:01:16.522542,1715677276.5225537,proposal,ykdzfw2h,6ul57k0b,1,8,3,4,2,1,1,1,40,30,30,
2024-05-14T09:01:17.195722,1715677277.1957319,proposal,ykdzfw2h,77a6ed9a,1,3,2,1,2,1,1,1,34,33,33,
2024-05-14T09:01:19.446583,1715677279.446593,proposal,ykdzfw2h,bv1rchfe,1,34,2,12,1,1,1,1,40,30,30,
